ÁREA;PUESTO;N;ID CONOCIMIENTO;CONOCIMIENTO;Nivel;Valor
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N2: 6,5 - 8 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N3: 8 - 10 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N0: Prácticas;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N1: 6M A 1,5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N2: 1,5 - 3 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N3: 3 - 5 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N2: 6,5 - 8 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N3: 8 - 10 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER3;3;Conocimientos sobre preparación de ofertas;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N1: 6M A 1,5 AÑO;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N2: 1,5 - 3 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N3: 3 - 5 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N2: 6,5 - 8 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N3: 8 - 10 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER4;4;Conocimientos sobre acuerdos comerciales;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N1: 6M A 1,5 AÑO;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N2: 1,5 - 3 AÑO;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N3: 3 - 5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N1: 5 - 6,5 AÑOS;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N2: 6,5 - 8 AÑOS;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N3: 8 - 10 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER5;5;Conocimientos sobre desarrollo de negocio, benchmarking y elaboración del plan de negocio de la zona;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N1: 6M A 1,5 AÑO;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N2: 1,5 - 3 AÑO;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N3: 3 - 5 AÑO;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N1: 5 - 6,5 AÑOS;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N2: 6,5 - 8 AÑOS;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N3: 8 - 10 AÑOS;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N1: 10 - 13 AÑOS;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N2: 13 - 16 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER6;6;Conocimientos básicos de las finanzas y cobros (entender los costes y márgenes de beneficio, y gestión de cobros y créditos);N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N1: 6M A 1,5 AÑO;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N2: 1,5 - 3 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N3: 3 - 5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N1: 5 - 6,5 AÑOS;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N2: 6,5 - 8 AÑOS;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N3: 8 - 10 AÑOS;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N1: 10 - 13 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N2: 13 - 16 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER7;7;Conocimientos básicos jurídicos (contratos de prestación de servicios con clientes, variables y clausulas jurídicas y fiscales, etc.);N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N1: 6M A 1,5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N2: 1,5 - 3 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N3: 3 - 5 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N2: 6,5 - 8 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N3: 8 - 10 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER8;8;Conocimientos de las normas, propiedades y calidad del producto;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N1: 6M A 1,5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N2: 1,5 - 3 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N3: 3 - 5 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N2: 6,5 - 8 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N3: 8 - 10 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER9;9;Conocimiento de uso correcto de las plataformas y/o programas internos;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N1: 6M A 1,5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N2: 1,5 - 3 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N3: 3 - 5 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N2: 6,5 - 8 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N3: 8 - 10 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER10;10;Conocimientos de normas y procedimientos (fichajes) de la empresa;N3: 30 - 38 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 6M A 1,5 AÑO;3
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 1,5 - 3 AÑO;4
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 3 - 5 AÑO;4
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 5 - 6,5 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 6,5 - 8 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 8 - 10 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 10 - 13 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 13 - 16 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 16 - 20 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 20 - 24 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 24 - 30 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL1;1;Conocimiento profundo del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 30 - 38 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N1: 6M A 1,5 AÑO;2
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N2: 1,5 - 3 AÑO;3
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N3: 3 - 5 AÑO;3
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N1: 5 - 6,5 AÑOS;4
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N2: 6,5 - 8 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N3: 8 - 10 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N1: 10 - 13 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N2: 13 - 16 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N3: 16 - 20 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N1: 20 - 24 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N2: 24 - 30 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL2;2;Conocimiento sólido de las estrategias de ventas efectivas y definición de objetivos de ventas.;N3: 30 - 38 AÑOS;5
COMERCIAL;D.COMERCIAL;D.COMERCIAL3;3;Conocimientos sobre negociación de contratos con clientes para alcanzar el máximo beneficio para ambas partes y asegurar relaciones comerciales a largo plazo;N1: 6M A 1,5 AÑO;3
COMERCIAL;D.COMERCIAL;D.COMERCIAL3;3;Conocimientos sobre negociación de contratos con clientes para alcanzar el máximo beneficio para ambas partes y asegurar relaciones comerciales a largo plazo;N2: 1,5 - 3 AÑO;4
COMERCIAL;D.COMERCIAL;D.COMERCIAL3;3;Conocimientos sobre negociación de contratos con clientes para alcanzar el máximo beneficio para ambas partes y asegurar relaciones comerciales a largo plazo;N3: 3 - 5 AÑO;4
COMERCIAL;D.COMERCIAL;D.COMERCIAL3;3;Conocimientos sobre negociación de contratos con clientes para alcanzar el máximo beneficio para ambas partes y asegurar relaciones comerciales a largo plazo;N1: 5 - 6,5 AÑOS;5
